,date,item,category,avg_daily_amount_usd,avg_usdkrw,avg_daily_amount_krw
76,2022-05-31,선박,수출,87456090.9090909,1253.4914285714287,109625460330.9091
77,2022-06-30,선박,수출,55009409.090909086,1293.2224999999999,71139405548.06816
78,2022-07-31,선박,수출,117928523.80952382,1305.9871428571428,154013135871.36053
79,2022-08-31,선박,수출,51551636.36363636,1341.98875,69181716044.0909
80,2022-09-30,선박,수출,52659636.36363636,1421.7774999999997,74870286139.99998
81,2022-10-31,선박,수출,63956428.571428575,1425.872857142857,91193735539.79591
82,2022-11-30,선박,수출,48163454.54545455,1334.59125,64278525006.13636
83,2022-12-31,선박,수출,111297181.81818183,1274.03,141795948551.81818
84,2023-01-31,선박,수출,63506681.81818181,1231.6185714285714,78216008737.07791
85,2023-02-28,선박,수출,74105300.0,1310.1933333333334,97092270024.66667
86,2023-03-31,선박,수출,44795318.18181819,1298.3422222222223,58159652953.33334
87,2023-04-30,선박,수출,77379500.0,1336.2866666666666,103401194123.33333
88,2023-05-31,선박,수출,40781782.608695656,1321.20375,53881044114.29348
89,2023-06-30,선박,수출,115773285.71428572,1305.6625,151160837658.92856
90,2023-07-31,선박,수출,82665700.0,1278.2985714285714,105671446216.14285
91,2023-08-31,선박,수출,69902090.9090909,1327.4177777777777,92789278176.56564
92,2023-09-30,선박,수출,60677142.85714286,1345.7685714285712,81657391861.22449
93,2023-10-31,선박,수출,125066181.81818183,1349.1171428571429,168728929882.5974
94,2023-11-30,선박,수출,66225227.27272728,1296.66375,85871851540.05682
95,2016-01-20,선박,수출,177117846.15384614,1208.5237499999998,214051123625.7692
96,2016-02-20,선박,수출,100808933.33333333,1217.185714285714,122703193525.71426
97,2016-03-20,선박,수출,106193538.46153846,1177.1100000000001,125001476058.46155
98,2016-04-20,선박,수출,101818615.38461539,1141.32625,116208258477.1154
99,2016-05-20,선박,수출,85785666.66666667,1177.7725,101035999094.16667
100,2016-06-20,선박,수출,236518153.84615386,1169.0466666666666,276500759360.0
101,2016-07-20,선박,수출,98652500.0,1140.42875,112506147259.375
102,2016-08-20,선박,수출,99637071.42857143,1102.7442857142858,109874211163.16327
103,2016-09-20,선박,수출,85965857.14285715,1120.4242857142858,96318234085.10205
104,2016-10-20,선박,수출,104535785.71428572,1127.7200000000003,117887096265.71431
105,2016-11-20,선박,수출,152399571.42857143,1171.3133333333333,178507650008.5714
106,2016-12-20,선박,수출,85411214.28571428,1178.8014285714287,100682861416.02042
107,2017-01-20,선박,수출,111784866.66666667,1175.4899999999998,131401992917.99998
108,2017-02-20,선박,수출,106331500.0,1142.6666666666667,121501460666.66667
109,2017-03-20,선박,수출,137374692.30769232,1132.0866666666666,155520057498.97437
110,2017-04-20,선박,수출,218716500.0,1137.8500000000001,248866569525.00003
111,2017-05-20,선박,수출,55971066.666666664,1120.6914285714286,62726294661.33333
112,2017-06-20,선박,수출,499607538.46153843,1130.6042857142857,564858424159.7802
113,2017-07-20,선박,수출,367138076.9230769,1130.74125,415138168022.5962
114,2017-08-20,선박,수출,79946153.84615384,1138.345,91006304500.0
115,2017-09-20,선박,수출,84527500.0,1130.4299999999998,95552421824.99998
116,2017-10-20,선박,수출,200875000.0,1129.76875,226942297656.25
117,2017-11-20,선박,수출,49143714.28571428,1103.9366666666667,54251548136.190475
118,2017-12-20,선박,수출,127018500.0,1086.09125,137953681438.125
119,2018-01-20,선박,수출,126088571.42857143,1064.685714285714,134244700734.69386
120,2018-02-20,선박,수출,84615642.85714285,1072.172857142857,90722595561.12244
121,2018-03-20,선박,수출,124532307.69230768,1067.8771428571426,132985204931.86809
122,2018-04-20,선박,수출,86762600.0,1067.84375,92648900143.75
123,2018-05-20,선박,수출,41215500.0,1076.0283333333334,44349045772.5
124,2018-06-20,선박,수출,54050500.0,1094.3537500000002,59150367364.375015
125,2018-07-20,선박,수출,83116142.85714285,1128.1125,93764359708.92856
126,2018-08-20,선박,수출,30969384.615384616,1126.5200000000002,34887631156.92308
127,2018-09-20,선박,수출,76878500.0,1120.495,86141974857.49998
128,2018-10-20,선박,수출,77007333.33333333,1130.7242857142858,87074061978.09523
129,2018-11-20,선박,수출,121199142.85714285,1128.9985714285715,136833659144.08163
130,2018-12-20,선박,수출,131313357.14285713,1126.7275,147954370610.17856
131,2019-01-20,선박,수출,80651384.61538461,1121.0149999999999,90411411924.61537
132,2019-02-20,선박,수출,78890857.14285715,1123.74375,88653107646.42859
133,2019-03-20,선박,수출,152329615.38461536,1130.545,172215485025.0
134,2019-04-20,선박,수출,86805133.33333333,1135.5628571428572,98572685222.66667
135,2019-05-20,선박,수출,50135714.28571428,1189.9466666666665,59658826095.23808
136,2019-06-20,선박,수출,70150923.07692307,1177.51,82603413432.3077
137,2019-07-20,선박,수출,62391857.14285714,1176.5157142857145,73405000372.04083
138,2019-08-20,선박,수출,86288230.76923077,1210.9228571428573,104488390940.87914
139,2019-09-20,선박,수출,101500733.33333334,1187.3362500000003,120515500088.25005
140,2019-10-20,선박,수출,75688357.14285715,1182.165,89476126721.78572
141,2019-11-20,선박,수출,42211500.0,1166.8999999999999,49256599349.99999
142,2019-12-20,선박,수출,59841133.33333333,1169.3162499999999,69973209625.08331
143,2020-01-20,선박,수출,43380428.571428575,1157.9733333333336,50233379474.28573
144,2020-02-20,선박,수출,57770000.0,1187.40125,68596170212.49999
145,2020-03-20,선박,수출,66524333.33333333,1231.9275,81953155652.5
146,2020-04-20,선박,수출,16868714.285714287,1219.7083333333335,20574911386.904766
147,2020-05-20,선박,수출,71143692.30769232,1226.75875,87276147045.76924
148,2020-06-20,선박,수출,79294600.0,1209.9771428571428,95944653552.0
149,2020-07-20,선박,수출,99613769.23076923,1203.0349999999999,119838850866.53845
150,2020-08-20,선박,수출,24220142.85714286,1184.1975,28681432621.07143
151,2020-09-20,선박,수출,79108714.28571428,1176.0083333333332,93032507239.2857
152,2020-10-20,선박,수출,51965928.571428575,1144.1357142857146,59456074804.59186
153,2020-11-20,선박,수출,59167333.333333336,1110.25,65690531833.333336
154,2020-12-20,선박,수출,90471857.14285715,1093.155,98899762995.0
155,2021-01-20,선박,수출,92515230.76923077,1098.53625,101631334677.11539
156,2021-02-20,선박,수출,67497466.66666666,1104.2057142857143,74531088393.14285
157,2021-03-20,선박,수출,108355857.14285715,1129.3971428571429,122376795468.9796
158,2021-04-20,선박,수출,71188928.57142857,1118.222857142857,79605087104.08162
159,2021-05-20,선박,수출,66154857.14285714,1128.41625,74650215816.42857
