date,publish_date,sales,cogs,gpm,op,net_income,inventory,account_payable,account_receivable,dio,dso,dpo,ccc,sales_mom,sales_yoy,gpm_mom,gpm_yoy,op_mom,op_yoy,net_income_mom,net_income_yoy
2019-06-30,2019-08-14,14144395839000.0,13482277316000.0,662118523000.0,-139415583000.0,-50090346000.0,1105729603000.0,2664263152000.0,1419457848000.0,28.25295670416545,34.522929093486326,69.10714621236767,-6.331260414715892,0.05983167649515275,0.15949314223016708,0.5289236294524089,26.06490420657208,-0.6238236988055039,-0.7676663430868322,-0.8916006585457964,-0.9119324648301589
2019-09-30,2019-11-14,14545242206000.0,13857647081000.0,687595125000.0,-138053210000.0,-8097953000.0,1239388216000.0,2453857699000.0,1622624158000.0,30.88431964429965,38.16917987560117,67.40372661013794,1.6497729097628877,0.02833958916044721,0.24998990977594593,0.03847740414294365,-5.615602872861277,-0.009772028138346656,-0.7922896709492016,-0.8383330592286187,-0.9897156726126688
2019-12-31,2020-03-30,15176124699000.0,14191186947000.0,984937752000.0,283739147000.0,213081106000.0,1318325637000.0,2586506892000.0,1442648621000.0,32.892440915322965,36.86133932494383,64.81956310581609,4.934217134450705,0.043373804579187825,0.15672641278934973,0.43243853277755573,1.7611666034300861,-3.0552882978961518,-1.5430206317150588,-27.31295908978479,-1.4697449191849263
2020-03-31,2020-05-15,15852157756000.0,14677792125000.0,1174365631000.0,377280178000.0,360684652000.0,1338652717000.0,2633699410000.0,1369081418000.0,33.036205001097876,32.37040281934348,64.9067408777599,0.49986694268146437,0.044545829084057686,0.18779332265880022,0.19232472165408487,1.7117733464355722,0.3296726306151896,-2.017991381021167,0.6927106244699144,-1.7805491850553117
2020-06-30,2020-08-14,15854760644000.0,14685222955000.0,1169537689000.0,414778028000.0,159449610000.0,1320067967000.0,2541356513000.0,1219331116000.0,33.041141174148414,29.79453919626136,64.3127931282743,-1.4771127578645178,0.00016419770986786375,0.12092172931727863,-0.004111106347593707,0.766357001614951,0.09938992872294494,-3.9751195603435523,-0.5579251595102528,-4.183240339365993
2020-09-30,2020-11-16,15671805877000.0,14556553041000.0,1115252836000.0,425175267000.0,62049111000.0,1231076690000.0,2545819679000.0,1325781413000.0,31.984488263886096,29.638131060835626,63.77949865088531,-2.1568793261635832,-0.01153942157236143,0.07745238305727797,-0.04641565082559729,0.6219615227783937,0.02506699559312242,-4.079792690079427,-0.6108544197756269,-8.662320465431202
2020-12-31,2021-03-16,14903657734000.0,14159004629000.0,744653105000.0,74367134000.0,-835177677000.0,1252994979000.0,2683131936000.0,1045149219000.0,32.01800490014516,29.03279504016554,67.39765221793685,-6.346852277626155,-0.04901465402448213,-0.017953658816334928,-0.3323010881812275,-0.24395922129300207,-0.8250906396208602,-0.737903159340928,-14.459945896726868,-4.919529481886583
2021-03-31,2021-05-17,14640583805000.0,13986303730000.0,654280075000.0,20186447000.0,-936479369000.0,1140127978000.0,2557479965000.0,1077812869000.0,31.226616272868544,26.46346527026352,68.38201789376556,-10.691936350633497,-0.01765163516871726,-0.07642959208764011,-0.12136259070590993,-0.4428651028871944,-0.7285568783651122,-0.9464948116092121,0.12129358194040907,-3.5963937301108118
2021-06-30,2021-08-17,14512338513000.0,14832362217000.0,-320023704000.0,-970112980000.0,-1659028595000.0,1247636350000.0,2918081870000.0,1076116170000.0,29.37947330874572,27.08674754694926,67.37227828364192,-10.90605742794694,-0.008759575007944886,-0.08466997144532862,-1.4891234140058445,-1.2736326558861328,-49.057638870277664,-3.338872636715463,0.771559150066017,-11.404720306308683
2021-09-30,2021-11-15,14610525612000.0,14747540265000.0,-137014653000.0,-868998089000.0,-1389377309000.0,1518325653000.0,2830538392000.0,1092782019000.0,34.22862772210915,27.091696082952662,71.13885969885162,-9.8185358937898,0.006765766861904776,-0.06771907930263088,-0.5718609237770712,-1.1228552383613934,-0.10423001555963096,-3.043858513058804,-0.16253564695188394,-23.391574780176946
2021-12-31,2022-03-14,15493381773000.0,16010119587000.0,-516737814000.0,-1384815777000.0,-1141204413000.0,1554136717000.0,3181777129000.0,1067697983000.0,35.023122686747485,25.448775880041694,68.53462752854452,-8.06272896175534,0.06042603698493143,0.03956908092800937,2.7714054860978994,-1.6939309196864223,0.5935774710316999,-19.62134120968007,-0.17862167058034195,0.3664211154436783
2022-03-31,2022-05-16,15719620655000.0,16610082808000.0,-890462153000.0,-1848684377000.0,-1497984621000.0,1626869894000.0,3013888484000.0,1055270999000.0,34.95068105427473,24.647022197177822,68.073650651995,-8.475947400542438,0.01460229182464623,0.07370176383482008,0.7232378372061619,-2.3609800863949584,0.33496773195702834,-92.58047362173244,0.31263479525293425,0.5995916947957878
2022-06-30,2022-08-16,16110948723000.0,16347282355000.0,-236333632000.0,-1216462782000.0,-881453280000.0,1750576784000.0,3173517831000.0,1573081981000.0,37.7055956671888,29.773195054939038,69.0758028133111,-1.5970120911832595,0.02489424373453497,0.11015524538433152,-0.7345944112236739,-0.2615121034909339,-0.34198460422214083,0.25393929065870235,-0.411573878901658,-0.4686931360577302
2022-09-30,2022-11-14,16817398374000.0,17004689228000.0,-187290854000.0,-1169502813000.0,-758217722000.0,2176607053000.0,3280239348000.0,1344506245000.0,42.147847610902545,31.661249820197664,69.26387594476654,4.5452214863336735,0.043849040993561905,0.15104677412751255,-0.20751501842953946,0.3669403227989052,-0.03860370386572176,0.34580596643866723,-0.13980951775458816,-0.45427515111375694
2022-12-31,2023-03-20,17302020185000.0,16935580632000.0,366439553000.0,-355560593000.0,-295177096000.0,2203316626000.0,2912783204000.0,1026706269000.0,47.19862216634865,25.011315394266486,66.73680934236303,5.4731282182521,0.028816693297176954,0.11673619345983433,-2.956526681222779,-1.7091401927090244,-0.6959728621020427,-0.7432433982155592,-0.6106961266727026,-0.7413459914477214
2023-03-31,2023-05-15,18236651749000.0,17492361554000.0,744290195000.0,21790982000.0,-153866022000.0,2229702425000.0,3397179657000.0,1132897111000.0,46.25024324531521,21.61184093848871,65.83263320836,2.029450975443922,0.0540186379397638,0.16012034572853384,1.031140440235173,-1.835847085125919,-1.0612862685826379,-1.0117872916930049,-0.4787331941228936,-0.8972846450871541
2023-06-30,2023-08-14,19501685305000.0,18420373195000.0,1081312110000.0,358132580000.0,-8857502000.0,2141558993000.0,3231533847000.0,1112498867000.0,43.30830870470863,21.01278733484311,65.6740339445658,-1.352937905014059,0.06936764343648605,0.21046163328416423,0.45280982775810985,-5.57536280743995,15.434898619988765,-1.294404880526793,-0.9424336712883888,-0.9899512518689589
2023-09-30,2023-11-14,20248475837000.0,19280758121000.0,967717716000.0,238353649000.0,21203056000.0,2174245407000.0,3040029088000.0,1320685215000.0,40.85079528808223,21.930346685826947,59.36282320718918,3.418318766719999,0.0382936407967025,0.2040195151887767,-0.10505236457584854,-6.166924573903646,-0.33445415940655276,-1.203807674808902,-3.3937963547736145,-1.0279643371353433
2023-12-31,2024-03-21,21296205574000.0,20248178434000.0,1048027140000.0,282260719000.0,144930284000.0,2005664722000.0,3203614517000.0,1460128954000.0,37.67418392864307,23.830469896575952,56.27493661351542,5.229717211703601,0.051743634702888786,0.23085081084709191,0.08298848173613482,1.8600273398979938,0.1842097663879272,-1.7938470251116945,5.835348828961259,-1.490994341918724
2024-03-31,2024-05-16,21969472086000.0,20775260047000.0,1194212039000.0,461467549000.0,490124939000.0,2216194004000.0,3365802875000.0,1444969522000.0,37.08686272768271,24.132599536056052,57.708961106993556,3.5105011567452067,0.03161438828436047,0.20468781157729166,0.13948579518656357,0.6044978786802371,0.6348982268411214,20.17699647496382,2.3817979615633678,-4.185400731293359
2024-06-30,2024-08-14,23131315764000.0,21510638956000.0,1620676808000.0,766675955000.0,808494923000.0,2128191803000.0,3468122154000.0,1458522792000.0,36.85852435156738,22.907791009868987,57.980207856383494,1.7861075050528754,0.0528844604664116,0.18611880984816254,0.3571097552802347,0.4988057499883174,0.6613864976234765,1.1407601480993437,0.6495690357025476,-92.27798367982305
2024-09-30,2024-11-14,24365865651000.0,22335411150000.0,2030454501000.0,1096126182000.0,638987754000.0,2337487479000.0,3544745716000.0,1555796996000.0,36.48853667800066,22.57721392662373,57.301313044107545,1.7644375605168534,0.05337136458624503,0.2033431971445625,0.25284355954083604,1.098188828652177,0.42971248133117723,3.5987388344954603,-0.2096576789511887,29.136587574923162
